# 検査用WPDから上流疵検位置まで25m
#############################
#------------------------------------------------------->>>
# 1本目 (360mで次コイル)
PLG,0,	1000,		MEM,TBL_TO_COIL,	48,	.\伝文\コイル情報伝文1.bin
PLG,0,	1000,		MAIL,	.,	TO_GETDAT,	2501,	FL,0

#検番 3-2本目の情報
PLG,0,	20000,		MAIL,	.,	TO_PUTDAT,	2401,	FC,smyu_3_2			# 検番情報伝文バッファID=smyu_2


PLG,0,	350000,		PI,0,	0,2,1,	1
PLG,0,	360000,		PI,0,	0,2,1,	0
PLG,0,	360000,		ZZ,0,0, 0

#------------------------------------------------------->>>
# 2本目 (400mで次コイル)
PLG,0,	1000,		MEM,TBL_TO_COIL,	48,	.\伝文\コイル情報伝文2.bin
PLG,0,	1000,		MAIL,	.,	TO_GETDAT,	2501,	FL,0


# 状態異常
PLG,0,	175000,	PI,0,	0,0,4,  1		# カメラ台車移動中 表 OFF 軽故障
PLG,0,	225000,	PI,0,	0,3,0,  0		# エッジ検出器 システム正常 軽故障
PLG,0,	275000,	PI,0,	0,1,3,  0		# シーケンサヘルシー 重故障

PLG,0,	375000,	PI,0,	0,0,4,  0		# 復帰
PLG,0,	375000,	PI,0,	0,3,0,  1		# 
PLG,0,	375000,	PI,0,	0,1,3,  1		# 



PLG,0,	390000,		PI,0,	0,2,1,	1
PLG,0,	400000,		PI,0,	0,2,1,	0
PLG,0,	400000,		ZZ,0,0, 0


#------------------------------------------------------->>>
# 3本目 (600mで次コイル)
PLG,0,	1000,		MEM,TBL_TO_COIL,	48,	.\伝文\コイル情報伝文3.bin
PLG,0,	1000,		MAIL,	.,	TO_GETDAT,	2501,	FL,0

#検番 2本目の情報
PLG,0,	50000,		MAIL,	.,	TO_PUTDAT,	2401,	FC,smyu_2			# 検番情報伝文バッファID=smyu_2

#検番 3-1本目の情報
PLG,0,	200000,		MAIL,	.,	TO_PUTDAT,	2401,	FC,smyu_3_1			# 検番情報伝文バッファID=smyu_2


PLG,0,	590000,	PI,0,	0,2,1,	1
PLG,0,	600000,	PI,0,	0,2,1,	0
PLG,0,	600000,	ZZ,0,0, 1
